queue_id,capture_date,broad_category_slug,sub_category,micro_niche,keyword,rank,shop_name,product_title,price,currency,sold_count,review_count,rating,product_url,shop_url,video_flag,live_flag,notes,tiktok_search_url,tiktok_tag_url,google_shop_query_url
KW-0017,2026-05-10,appliances,Kitchen appliances,Mini blenders and choppers,electric chopper,1,,,,MYR,,,,,,,,,https://www.tiktok.com/search?q=electric+chopper,https://www.tiktok.com/tag/electric-chopper,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22electric+chopper%22+Malaysia
KW-0017,2026-05-10,appliances,Kitchen appliances,Mini blenders and choppers,electric chopper,2,,,,MYR,,,,,,,,,https://www.tiktok.com/search?q=electric+chopper,https://www.tiktok.com/tag/electric-chopper,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22electric+chopper%22+Malaysia
KW-0017,2026-05-10,appliances,Kitchen appliances,Mini blenders and choppers,electric chopper,3,,,,MYR,,,,,,,,,https://www.tiktok.com/search?q=electric+chopper,https://www.tiktok.com/tag/electric-chopper,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22electric+chopper%22+Malaysia
KW-0018,2026-05-10,appliances,Kitchen appliances,Mini blenders and choppers,mini blender,1,,,,MYR,,,,,,,,,https://www.tiktok.com/search?q=mini+blender,https://www.tiktok.com/tag/mini-blender,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22mini+blender%22+Malaysia
KW-0018,2026-05-10,appliances,Kitchen appliances,Mini blenders and choppers,mini blender,2,,,,MYR,,,,,,,,,https://www.tiktok.com/search?q=mini+blender,https://www.tiktok.com/tag/mini-blender,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22mini+blender%22+Malaysia
KW-0018,2026-05-10,appliances,Kitchen appliances,Mini blenders and choppers,mini blender,3,,,,MYR,,,,,,,,,https://www.tiktok.com/search?q=mini+blender,https://www.tiktok.com/tag/mini-blender,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22mini+blender%22+Malaysia
KW-0019,2026-05-10,appliances,Kitchen appliances,Mini blenders and choppers,portable juicer,1,,,,MYR,,,,,,,,,https://www.tiktok.com/search?q=portable+juicer,https://www.tiktok.com/tag/portable-juicer,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22portable+juicer%22+Malaysia
KW-0019,2026-05-10,appliances,Kitchen appliances,Mini blenders and choppers,portable juicer,2,,,,MYR,,,,,,,,,https://www.tiktok.com/search?q=portable+juicer,https://www.tiktok.com/tag/portable-juicer,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22portable+juicer%22+Malaysia
KW-0019,2026-05-10,appliances,Kitchen appliances,Mini blenders and choppers,portable juicer,3,,,,MYR,,,,,,,,,https://www.tiktok.com/search?q=portable+juicer,https://www.tiktok.com/tag/portable-juicer,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22portable+juicer%22+Malaysia
KW-0020,2026-05-10,automotive,,,car diffuser,1,,,,MYR,,,,,,,,,https://www.tiktok.com/search?q=car+diffuser,https://www.tiktok.com/tag/car-diffuser,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22car+diffuser%22+Malaysia
KW-0020,2026-05-10,automotive,,,car diffuser,2,,,,MYR,,,,,,,,,https://www.tiktok.com/search?q=car+diffuser,https://www.tiktok.com/tag/car-diffuser,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22car+diffuser%22+Malaysia
KW-0020,2026-05-10,automotive,,,car diffuser,3,,,,MYR,,,,,,,,,https://www.tiktok.com/search?q=car+diffuser,https://www.tiktok.com/tag/car-diffuser,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22car+diffuser%22+Malaysia
KW-0021,2026-05-10,automotive,,,phone mount,1,,,,MYR,,,,,,,,,https://www.tiktok.com/search?q=phone+mount,https://www.tiktok.com/tag/phone-mount,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22phone+mount%22+Malaysia
KW-0021,2026-05-10,automotive,,,phone mount,2,,,,MYR,,,,,,,,,https://www.tiktok.com/search?q=phone+mount,https://www.tiktok.com/tag/phone-mount,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22phone+mount%22+Malaysia
KW-0021,2026-05-10,automotive,,,phone mount,3,,,,MYR,,,,,,,,,https://www.tiktok.com/search?q=phone+mount,https://www.tiktok.com/tag/phone-mount,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22phone+mount%22+Malaysia
KW-0022,2026-05-10,automotive,,,seat hook,1,,,,MYR,,,,,,,,,https://www.tiktok.com/search?q=seat+hook,https://www.tiktok.com/tag/seat-hook,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22seat+hook%22+Malaysia
KW-0022,2026-05-10,automotive,,,seat hook,2,,,,MYR,,,,,,,,,https://www.tiktok.com/search?q=seat+hook,https://www.tiktok.com/tag/seat-hook,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22seat+hook%22+Malaysia
KW-0022,2026-05-10,automotive,,,seat hook,3,,,,MYR,,,,,,,,,https://www.tiktok.com/search?q=seat+hook,https://www.tiktok.com/tag/seat-hook,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22seat+hook%22+Malaysia
